Date,Time,Municipality,Temperature,Dew Point,Humidity,Wind Direction,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
12/31/2016,15:20,KINGS,45F,22F,40%,S,24mph,31mph,29.96in,0.0in,Mostly
12/31/2016,22:26,KINGS,44F,24F,45%,SSW,12mph,0mph,29.89in,0.0in,Cloudy
12/31/2016,22:14,KINGS,44F,24F,45%,SSW,12mph,0mph,29.89in,0.0in,Cloudy
12/31/2016,13:00,KINGS,42F,18F,38%,SSW,15mph,0mph,30.04in,0.0in,Mostly
12/31/2016,22:45,KINGS,44F,24F,45%,SSW,12mph,0mph,29.89in,0.0in,Cloudy
12/31/2016,2:00,KINGS,35F,16F,46%,W,12mph,0mph,30.02in,0.0in,Partly
12/31/2016,14:00,KINGS,43F,18F,37%,S,17mph,25mph,30.01in,0.0in,Cloudy
12/31/2016,19:30,KINGS,44F,27F,51%,SSW,17mph,25mph,29.94in,0.0in,Cloudy
12/31/2016,15:00,KINGS,45F,22F,40%,S,24mph,31mph,29.96in,0.0in,Mostly
12/31/2016,9:00,KINGS,35F,18F,50%,SSW,12mph,0mph,30.14in,0.0in,Partly
12/31/2016,18:00,KINGS,44F,27F,51%,S,18mph,28mph,29.94in,0.0in,Fair
12/31/2016,2:39,KINGS,35F,16F,46%,W,12mph,0mph,30.02in,0.0in,Partly
12/31/2016,14:30,KINGS,43F,18F,37%,S,17mph,25mph,30.01in,0.0in,Cloudy
12/31/2016,16:15,KINGS,44F,26F,49%,S,22mph,29mph,29.96in,0.0in,Mostly
12/31/2016,8:14,KINGS,34F,16F,48%,SW,8mph,0mph,30.13in,0.0in,Partly
12/31/2016,0:40,KINGS,45F,24F,44%,SSW,12mph,0mph,29.89in,0.0in,Cloudy
12/31/2016,23:15,KINGS,45F,24F,44%,SSW,12mph,0mph,29.89in,0.0in,Cloudy
12/31/2016,12:35,KINGS,40F,19F,43%,SW,12mph,0mph,30.07in,0.0in,Mostly
12/31/2016,19:00,KINGS,44F,27F,51%,SSW,17mph,25mph,29.94in,0.0in,Cloudy
12/31/2016,12:00,KINGS,40F,19F,43%,SW,12mph,0mph,30.07in,0.0in,Mostly
12/31/2016,17:30,KINGS,44F,26F,49%,SSW,22mph,0mph,29.95in,0.0in,Mostly
12/31/2016,16:11,KINGS,44F,26F,49%,S,22mph,29mph,29.96in,0.0in,Mostly
12/31/2016,10:15,KINGS,36F,19F,50%,SSW,8mph,0mph,30.14in,0.0in,Mostly
12/31/2016,2:45,KINGS,35F,16F,46%,W,12mph,0mph,30.02in,0.0in,Partly
12/31/2016,1:02,KINGS,35F,18F,50%,W,10mph,22mph,29.98in,0.0in,Fair
12/31/2016,10:30,KINGS,36F,19F,50%,SSW,8mph,0mph,30.14in,0.0in,Mostly
12/31/2016,18:10,KINGS,44F,27F,51%,S,18mph,28mph,29.94in,0.0in,Fair
12/31/2016,23:30,KINGS,45F,24F,44%,SSW,12mph,0mph,29.89in,0.0in,Cloudy
12/31/2016,17:26,KINGS,44F,26F,49%,SSW,22mph,0mph,29.95in,0.0in,Mostly
12/31/2016,16:45,KINGS,44F,26F,49%,S,22mph,29mph,29.96in,0.0in,Mostly
12/31/2016,23:54,KINGS,45F,24F,44%,SSW,12mph,0mph,29.89in,0.0in,Cloudy
12/31/2016,10:30,KINGS,36F,19F,50%,SSW,8mph,0mph,30.14in,0.0in,Mostly
12/31/2016,9:35,KINGS,35F,18F,50%,SSW,12mph,0mph,30.14in,0.0in,Partly
12/31/2016,11:50,KINGS,38F,20F,48%,S,10mph,0mph,30.11in,0.0in,Cloudy
12/31/2016,10:45,KINGS,36F,19F,50%,SSW,8mph,0mph,30.14in,0.0in,Mostly
12/31/2016,17:50,KINGS,44F,26F,49%,SSW,22mph,0mph,29.95in,0.0in,Mostly
12/31/2016,0:00,KINGS,45F,24F,44%,SSW,12mph,0mph,29.89in,0.0in,Cloudy
12/31/2016,6:45,KINGS,34F,17F,50%,WSW,14mph,22mph,30.11in,0.0in,Mostly
